temperature,response,response_time,question,correct_answer,category
0.0,15000,1.021,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.1,75,0.752,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.2,75,0.49,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.3,15000                -1,0.477,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.4,150 * 25 / 3600 = 1.042  (,1.007,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.5,75,0.495,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.6,150 * 25 / 3600 = 1.042 (approximately,0.481,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.7,150 * 25 / 3600 = 1.042,0.481,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.8,\\ 150 * 25 = 3750 m \\,0.452,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.9,"75.0                ""                ""            """,0.441,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
1.0,60,0.505,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
